,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
0,0,42515,20241229042300,city scrape,Noelle,2010-07-30,within a few hours,100.0,88%,f,1,1,46.20198,6.15672,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Hair dryer"", ""Bathtub"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hangers"", ""TV with standard cable"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Wifi""]",89.0,3,1125,3,3,1125,1125,3.0,1125.0,t,28,58,88,363,79,6,1,4.74,4.73,4.78,4.86,4.84,4.85,4.55,f,1,0,1,0,0.49
5,5,411058,20241229042300,city scrape,Julik,2012-02-06,within a day,100.0,100%,f,1,3,46.21127,6.1454,Private room in loft,Private room,2,1.5,1.0,1.0,"[""Hair dryer"", ""Lake access"", ""Stove"", ""Washer"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Oven"", ""Host greets you"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",125.0,2,7,2,2,7,7,2.0,7.0,t,23,53,83,83,56,3,0,4.79,4.84,4.86,4.94,4.96,4.89,4.64,f,1,0,1,0,0.43
6,6,419631,20241229042300,city scrape,Mark,2012-04-07,within an hour,100.0,90%,f,2,2,46.1995,6.17308,Private room in rental unit,Private room,2,1.5,1.0,1.0,"[""Hair dryer"", ""Fast wifi \u2013 92 Mbps"", ""Lake access"", ""Shared patio or balcony"", ""Indoor fireplace: wood-burning"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Garden view"", ""Electrolux induction stove"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""72 inch HDTV with Amazon Prime Video"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Oven"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Board games"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo""]",120.0,2,14,2,2,1125,1125,2.0,1125.0,t,28,32,32,32,81,4,0,4.94,4.98,5.0,4.99,4.99,4.86,4.91,t,2,1,1,0,0.57
9,9,664917,20241229042300,city scrape,Jean-Luc,2012-08-24,within an hour,100.0,100%,f,4,4,46.20542,6.12802,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Hair dryer"", ""Bio Balance body soap"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""44 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku"", ""Dining table"", ""Coffee"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""City skyline view"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Host greets you"", ""Autre stainless steel electric stove"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",118.0,15,730,9,15,1125,1125,14.8,1125.0,t,28,32,32,32,47,2,0,4.89,4.89,4.93,4.96,4.98,4.8,4.76,f,4,4,0,0,0.32
11,11,699903,20241229042300,previous scrape,Jean-Luc,2012-08-24,within an hour,100.0,100%,f,4,4,46.2067,6.12949,Entire rental unit,Entire home/apt,2,,1.0,,"[""Hair dryer"", ""Iron"", ""Elevator"", ""Free street parking"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Washer"", ""Wifi"", ""Kitchen"", ""Hangers"", ""TV with standard cable""]",,999,1000,999,999,1125,1125,999.0,1125.0,t,29,59,89,89,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,4,4,0,0,0.07
12,12,703260,20241229042300,city scrape,Karl,2012-04-04,within a few hours,100.0,0%,f,1,3,46.2057,6.1824,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"[""Long term stays allowed"", ""Bathtub"", ""Stove"", ""Washer"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""TV with standard cable"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Free parking on premises"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Backyard"", ""Dryer"", ""Cooking basics"", ""Wifi""]",175.0,2,360,2,2,360,360,2.0,360.0,t,17,47,77,352,23,0,0,4.87,5.0,4.96,4.91,4.96,4.87,4.91,f,1,1,0,0,0.17
13,13,706264,20241229042300,city scrape,Louis,2012-09-20,within an hour,100.0,100%,f,1,1,46.211998,6.150082,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""43 inch HDTV with standard cable"", ""Books and reading material"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Wine glasses"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Induction stove"", ""Toaster"", ""Body soap"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Pocket wifi"", ""Cleaning products"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",137.0,4,60,1,4,1125,1125,4.0,1125.0,t,6,24,54,268,143,5,0,4.77,4.8,4.81,4.86,4.84,4.84,4.66,f,1,1,0,0,1.0
16,16,751882,20241229042300,city scrape,Maysoon,2011-07-04,within a few hours,100.0,67%,f,2,5,46.20234,6.1621,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,"[""Keypad"", ""Essentials"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Iron"", ""Elevator"", ""Heating"", ""Self check-in"", ""Stove"", ""Washer"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Indoor fireplace"", ""Kitchen"", ""Dedicated workspace""]",185.0,3,1125,3,3,1125,1125,3.0,1125.0,t,29,59,89,364,73,0,0,4.29,4.3,3.95,4.69,4.67,4.85,4.28,f,2,1,1,0,0.62
17,17,751941,20241229042300,city scrape,Maysoon,2011-07-04,within a few hours,100.0,67%,f,2,5,46.20282,6.16197,Private room in rental unit,Private room,2,1.5,1.0,0.0,"[""Essentials"", ""Elevator"", ""Heating"", ""Shared hot tub"", ""HDTV with DVD player"", ""Stove"", ""Washer"", ""Shampoo"", ""Wifi"", ""Indoor fireplace"", ""Kitchen"", ""Dedicated workspace""]",80.0,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,74,2,0,4.5,4.58,4.58,4.7,4.82,4.82,4.53,f,2,1,1,0,0.64
21,21,800449,20241229042300,previous scrape,Lucas,2012-11-22,within an hour,100.0,83%,f,2,5,46.20442,6.12666,Entire condo,Entire home/apt,5,,4.0,,"[""Hair dryer"", ""Private backyard"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Private entrance"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Shower gel"", ""Ethernet connection"", ""Exterior security cameras on property"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""High chair"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Body soap"", ""Outdoor dining area"", ""Host greets you"", ""Patio or balcony"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Children\u2019s books and toys"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",,3,40,3,3,40,40,3.0,40.0,t,0,0,0,0,30,6,0,4.8,4.93,4.83,4.76,4.9,4.66,4.55,f,1,1,0,0,0.21
